state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
AL,01001-10 JONES COMM_ CTR_,131,255,390,-0.3179,true
AL,01001-100 TRINITY METHODIST,479,1859,2372,-0.5818,true
AL,01001-110 CENTRAL AL ELECTRIC,169,139,309,0.0971,true
AL,01001-140 AUTAUGAVILLE VFD,338,405,750,-0.0893,true
AL,01001-150 PRATTMONT BAPTIST,256,655,933,-0.4277,true
AL,01001-160 DOSTER COMM_ CTR_,1643,3927,5650,-0.4042,true
AL,01001-170 CAMELLIA BAPTIST,531,1024,1574,-0.3132,true
AL,01001-180 OLD KINGSTON VFD,265,550,820,-0.3476,true
AL,01001-20 HERITAGE BAPTIST,675,1902,2620,-0.4683,true
AL,01001-220 UPPER KINGSTON,309,867,1187,-0.4701,true
AL,01001-230 COUNTY LINE BAPTIST,194,1178,1381,-0.7125,true
AL,01001-240 GLYNWOOD BAPTIST,737,1424,2196,-0.3128,true
AL,01001-30 BILLINGSLEY COMM_ CTR_,40,459,500,-0.838,true
AL,01001-40 CENTRAL AL COMM_ COLLEGE,780,1541,2352,-0.3236,true
AL,01001-50 WHITE CITY VFD,143,473,618,-0.534,true
AL,01001-60 MARBURY MIDDLE SCHOOL,88,876,980,-0.8041,true
AL,01001-70 BOONE'S CHAPEL,307,1983,2318,-0.723,true
AL,01001-80 FRIENDSHIP BAPTIST,178,275,457,-0.2123,true
AL,01001-90 BOOTH VFD,176,692,874,-0.5904,true
AL,01003-BARNWELL VFD,250,1529,1809,-0.707,true
AL,01003-BAY MINETTE CITY HALL/CIVIC,762,2922,3709,-0.5824,true
AL,01003-BELFOREST CHRISTIAN CH,334,1701,2065,-0.662,true
AL,01003-BON SECOUR FISHERMAN BAPT,361,1718,2109,-0.6434,true
AL,01003-BROMLEY EAST POINTE BAPT,419,1606,2061,-0.5759,true
AL,01003-CH OF HIS PRESENCE,688,2934,3679,-0.6105,true
AL,01003-CLR SPRNGS FELLOWSHIP,5,193,201,-0.9353,true
AL,01003-CROSSROADS VFD,125,451,581,-0.5611,true
AL,01003-DAPHNE CIVIC CTR,1660,2725,4461,-0.2387,true
AL,01003-DOUGLASVILLE BOYKIN,340,66,407,0.6732,true
AL,01003-EASTERN SHORE BAPT,1333,2866,4258,-0.36,true
AL,01003-ELBERTA CIVIC CTR,272,1858,2147,-0.7387,true
AL,01003-ELLISVILLE COMM_ CTR,156,453,613,-0.4845,true
AL,01003-ELSANOR BETHAL BAPT,120,1065,1191,-0.7935,true
AL,01003-FAIRHOPE 3 CIRCLE CH,1190,4964,6247,-0.6041,true
AL,01003-FAIRHOPE CIVIC CTR,916,2429,3413,-0.4433,true
AL,01003-FAIRHOPE FIRST BAPT,1056,1539,2636,-0.1832,true
AL,01003-FAIRHOPE MARS HILL CH,274,1695,2002,-0.7098,true
AL,01003-FOLEY CALVARY CHAPEL,370,1486,1874,-0.5955,true
AL,01003-FOLEY CIVIC CTR,843,2514,3392,-0.4926,true
AL,01003-FOLEY UNITED METHODIST,491,1463,1990,-0.4884,true
AL,01003-FT MORGAN VFD #1,111,387,501,-0.5509,true
AL,01003-GATESWOOD FIRE STATION,23,385,412,-0.8786,true
AL,01003-GRAHAM CREEK CTR,442,2380,2849,-0.6802,true
AL,01003-GULF SHORES CIVIC CTR,616,2236,2886,-0.5613,true
AL,01003-GULF SHORES CULTURAL,962,4262,5290,-0.6238,true
AL,01003-HARRIETT COCKRELL CTR,109,794,913,-0.7503,true
AL,01003-HOMESTEAD VILLAGE,595,1459,2097,-0.412,true
AL,01003-JOSEPHINE FIRE DEPT,76,549,630,-0.7508,true
AL,01003-LILLIAN COMM_ CLUB,605,3029,3656,-0.663,true
AL,01003-LITTLE RIVER SAIL CTR,33,149,182,-0.6374,true
AL,01003-LOTTIE FIRE DEPT,17,232,253,-0.8498,true
AL,01003-LOXLEY CIVIC CTR,180,1143,1334,-0.7219,true
AL,01003-MAG SPGS REDEMPTION CH,476,1571,2069,-0.5292,true
AL,01003-MARLOW/FISH RIVER VFD,444,2042,2515,-0.6354,true
AL,01003-ORANGE BEACH EVENT CTR,667,4448,5152,-0.7339,true
AL,01003-PERDIDO BEACH VFD,100,660,769,-0.7282,true
AL,01003-PERDIDO VFD #1,55,765,824,-0.8617,true
AL,01003-PINEGROVE VFD #1,157,898,1063,-0.6971,true
AL,01003-PROVIDENCE UMC,725,2648,3423,-0.5618,true
AL,01003-PT_CLEAR FAMILY MINISTRIES,773,2398,3200,-0.5078,true
AL,01003-RABUN FIRE HOUSE,38,652,691,-0.8886,true
AL,01003-ROBERTSDALE PZK HALL,482,2520,3044,-0.6695,true
AL,01003-ROSINTON COMMUNITY CH,174,1722,1911,-0.81,true
AL,01003-SEMINOLE FIRE HOUSE,66,668,742,-0.8113,true
AL,01003-SILVERHILL COMM_ CTR,472,2487,2982,-0.6757,true
AL,01003-SPANISH FORT CH CHRIST,213,559,787,-0.4396,true
AL,01003-SPANISH FORT COMM_ CTR,633,2336,3036,-0.5609,true
AL,01003-SPANISH TRAIL BAPT CH,619,1816,2474,-0.4838,true
AL,01003-STAPLETON VFD,129,1383,1528,-0.8207,true
