state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
OR,41001-19,52,215,277,-0.5884,true
OR,41001-26,15,77,97,-0.6392,true
OR,41001-17,96,482,597,-0.6466,true
OR,41001-20,19,39,60,-0.3333,true
OR,41001-13,127,596,732,-0.6407,true
OR,41001-1,260,642,934,-0.409,true
OR,41001-5,305,930,1275,-0.4902,true
OR,41001-2,307,608,947,-0.3178,true
OR,41001-3,301,698,1035,-0.3836,true
OR,41001-4,299,831,1177,-0.452,true
OR,41001-24,214,592,825,-0.4582,true
OR,41001-25,64,252,322,-0.5839,true
OR,41001-18,3,72,78,-0.8846,true
OR,41001-21,25,137,169,-0.6627,true
OR,41001-22,188,458,658,-0.4103,true
OR,41001-15,65,361,438,-0.6758,true
OR,41001-14,3,70,73,-0.9178,true
OR,41003-14,224,365,617,-0.2285,true
OR,41003-17,31,13,49,0.3673,true
OR,41003-8,3752,726,4636,0.6527,true
OR,41003-4,833,128,1013,0.696,true
OR,41003-9,2321,764,3234,0.4814,true
OR,41003-20,305,526,860,-0.257,true
OR,41003-19,660,502,1196,0.1321,true
OR,41003-16,3593,1569,5383,0.376,true
OR,41003-3,2535,612,3298,0.5831,true
OR,41003-10,1891,1114,3155,0.2463,true
OR,41003-5,1638,243,1983,0.7035,true
OR,41003-13,149,208,373,-0.1582,true
OR,41003-7,3003,422,3587,0.7195,true
OR,41003-18,649,786,1491,-0.0919,true
OR,41003-15,1443,1284,2845,0.0559,true
OR,41003-1,3307,835,4309,0.5737,true
OR,41003-21,270,464,759,-0.2556,true
OR,41003-12,463,272,770,0.2481,true
OR,41003-11,3164,2606,5986,0.0932,true
OR,41003-6,2406,483,3055,0.6295,true
OR,41003-2,1272,265,1633,0.6167,true
OR,41005-100,51,30,86,0.2442,true
OR,41005-101,3242,2466,5942,0.1306,true
OR,41005-102,598,681,1318,-0.063,true
OR,41005-103,1535,1168,2803,0.1309,true
OR,41005-104,10,13,23,-0.1304,true
OR,41005-105,2231,1759,4134,0.1142,true
OR,41005-106,975,1941,3031,-0.3187,true
OR,41005-107,740,1079,1891,-0.1793,true
OR,41005-108,1815,2562,4552,-0.1641,true
OR,41005-111,1403,3245,4839,-0.3807,true
OR,41005-113,38,15,59,0.3898,true
OR,41005-114,102,64,170,0.2235,true
OR,41005-115/116,194,54,259,0.5405,true
OR,41005-122,1498,1799,3425,-0.0879,true
OR,41005-123,856,1178,2119,-0.152,true
OR,41005-124,1552,1863,3558,-0.0874,true
OR,41005-125,593,639,1286,-0.0358,true
OR,41005-127,23,51,76,-0.3684,true
OR,41005-131,3750,2008,5959,0.2923,true
